ticker,earnings_date,direction,pct_change,abs_change,magnitude,sector,finbert_positive,finbert_negative,finbert_neutral,finbert_confidence,guidance_raised_count,guidance_lowered_count,confidence_score,uncertainty_score,guidance_direction,text_length,avg_sentence_sentiment,sentiment_volatility,positive_sentence_ratio,negative_sentence_ratio,forward_looking_ratio,tb_polarity,tb_subjectivity,word_count,unique_positive_signals,unique_negative_signals,momentum_5d,momentum_10d,volatility,volume_surge,rsi,price_slope,dist_52w_high,avg_volume
AMD,2024-10-29,DOWN,-10.6165,10.6165,LARGE,Semi,0.7887,0.1019,0.1094,0.7887,0,0,0,0,0.0,2500,0.0102,0.0661,0.1875,0.125,0.0593,0.0437,0.2812,135,0,0,3.7835,-7.4537,2.1555,0.8398,41.07,-1.1561,-24.3448,35187113.0
AMD,2024-07-30,UP,4.3629,4.3629,MEDIUM,Semi,0.0089,0.9645,0.0266,0.9645,0,1,0,0,-1.0,2618,0.0267,0.0871,0.125,0.0,0.0465,0.0421,0.2421,129,0,1,-9.2532,-21.0898,3.4423,0.9805,48.72,-3.6428,-33.8868,53530167.0
AMD,2024-04-30,DOWN,-8.909,8.909,LARGE,Semi,0.066,0.6388,0.2953,0.6388,0,1,0,0,-1.0,2828,0.0215,0.053,0.125,0.0,0.0272,0.0435,0.2304,147,0,1,5.2078,-6.1951,2.8431,0.7983,34.62,-1.1555,-24.2123,53218820.0
INTC,2026-01-23,DOWN,-5.7244,5.7244,LARGE,Semi,0.0953,0.0627,0.8419,0.8419,0,0,0,0,0.0,2499,0.0729,0.156,0.1875,0.0,0.016,0.2444,0.3111,125,0,0,12.4172,47.2087,4.8658,1.4088,73.08,1.1386,0.0,132682867.0
INTC,2025-10-24,UP,3.2915,3.2915,MEDIUM,Semi,0.033,0.5623,0.4046,0.5623,0,0,0,0,0.0,2449,0.0176,0.0439,0.1111,0.0,0.062,0.0458,0.15,129,0,0,3.1073,3.6112,2.5391,0.8758,42.23,0.0615,0.0,107406607.0
INTC,2025-07-24,DOWN,-8.5285,8.5285,LARGE,Semi,0.4385,0.1029,0.4586,0.4586,0,0,0,0,0.0,2718,0.0604,0.1211,0.3,0.0,0.0134,0.1333,0.1889,149,0,0,3.0263,7.3583,2.3,0.8852,66.3,0.0551,-29.1609,69414153.0
INTC,2025-04-24,DOWN,-6.7008,6.7008,LARGE,Semi,0.1099,0.1489,0.7412,0.7412,0,0,0,0,0.0,2611,0.0046,0.0609,0.1176,0.1176,0.0138,0.0065,0.1883,145,0,0,7.0723,-6.3239,6.928,0.6803,62.07,-0.1232,-40.744,123941000.0
INTC,2025-01-23,DOWN,-3.4307,3.4307,MEDIUM,Semi,0.0396,0.4447,0.5157,0.5157,0,0,0,0,0.0,2695,-0.0183,0.1025,0.1111,0.1111,0.0719,-0.0383,0.245,139,0,0,10.8519,10.2926,2.9005,1.632,50.67,0.088,-55.2921,66117020.0
INTC,2024-10-24,UP,1.5219,1.5219,SMALL,Semi,0.0078,0.9562,0.036,0.9562,0,0,0,0,0.0,3106,-0.0938,0.2633,0.0,0.125,0.0,-0.1538,0.1692,181,0,0,-2.0499,-1.2579,1.8462,0.9267,47.58,-0.0314,-56.1183,48808753.0
INTC,2024-07-25,UP,0.8039,0.8039,SMALL,Semi,0.8213,0.0613,0.1173,0.8213,0,0,0,0,0.0,2997,0.0412,0.1252,0.1875,0.0625,0.0124,0.0562,0.2732,161,0,0,-9.0909,1.505,2.9313,0.784,46.12,0.0039,-37.1118,59604433.0
